MICEXINDEXCF	Индекс ММВБ
PBSB	ПетербургСбытКомпания
PMTL	Полиметалл
PLZL	Полюс Золото
PRIM	Приморское МП
RU14PRMB1006	Приморье-1
RU14PRMB2004	Приморье-2
RU14PRMB3002	Приморье-3
RU14PRMB4000	Приморье-4
RU14PRMB5007	Приморье-5
RU14PRMB6005	Приморье-6
VRAO	РАО Энергосистемы Востока
VRAOP	РАО Энергосистемы Востока пр.
RBCI	РБК ИС
RITK	РИТЭК
RITKP	РИТЭК пр.
RKKE	РКК Энергия им.С.П.Королева
ROSB	РОСБАНК АКБ
RTMC	РТМ
RASP	Распадская
RODN	Родина пр.
ROST	Росинтер Ресторантс Холдинг
ROSN	Роснефть
RTKM	Ростелеком
RTKMP	Ростелеком пр.
HYDR	РусГидро
RUSP	Русполимет
RZSB	РязаньЭнергоСбыт
SZPR	СЗПароходство
SVAV	СОЛЛЕРС
SBER03	Сбербанк России-3
SBERP03	Сбербанк России-3 пр.
SVSB	СвердловЭнергоСбыт
SVSBP	СвердловЭнергоСбыт пр.
SPTL	СевЗапТелеком
SPTLP	СевЗапТелеком пр.
SVTZ	Северский ТЗ
CHMF	Северсталь
SELL	Селестра
SLND	Сибирская земля
STKM	СибирьТелеком
STKMP	СибирьТелеком пр.
SILM	Силовые машины
SILV	Сильвинит
SNTZ	Синарский ТЗ
SYNG	Синергия
HALS	Система-Галс
JNOS	Славнефть-ЯрНОС
MGNZ	Соликамск Магний
SUMZ	Среднеуральский МЗ
STSB	СтавропольЭнергоСбыт
STSBP	СтавропольЭнергоСбыт пр.
SGOK	Стойленский ГОК
SNGS	СургутНГ
SNGSP	СургутНГ пр.
TAMZ	ТАГМЕТ
TGMK	ТАМП
TGKA	ТГК-1
TGKK	ТГК-11
TGKK-001D	ТГК-11-001D
TGKK-002D	ТГК-11-002D
TGKN	ТГК-14
TGKB	ТГК-2
TGKBP	ТГК-2 пр.
TGKD	ТГК-4
TGKDP	ТГК-4 пр.
TGKE	ТГК-5
TGKF	ТГК-6
TGKI	ТГК-9
TRMK	ТМК
TASB	ТамбовЭнергоСбыт
TASBP	ТамбовЭнергоСбыт пр.
RU14TATN3006	Татнефть
RU14TATN3014	Татнефть пр.
TTLK	Таттелеком
TVSB	ТверьЭнергоСбыт
TVSBP	ТверьЭнергоСбыт пр.
TORS	ТомскРаспредКомпания
TORSP	ТомскРаспредКомпания пр.
TOSB	ТомскЭнергоСбыт
TOSBP	ТомскЭнергоСбыт пр.
RU0008959648	Томскнефть
TCBN	ТрансКредитБанк
TRNFP	Транснефть пр.
TUZA	Туймазинский з-д автобетоновозов
TLSB	ТулаСбытКомпания
AZTP-03	Тяжпромарматура-03
AZTP-04	Тяжпромарматура-04
UUAZ	У-УАЗ
UAZA	УАЗ
YKST	УК Стратегия
UDSB	УдмуртЭнергоСбыт
